 3.73	2.1	400.	0.0
 3.73	2.1	400.	12.7
 4.43	0.46	400.	15.
 3.07	0.37	400.	20.
 2.84	0.57	400.	30.
 3.33	0.2	400.	40.
 3.35	0.2	400.	45.
 3.38	0.12	400.	50.
 2.56	0.23	400.	55.
 2.48	0.08	400.	60.
 2.22	0.09	400.	70.
 1.85	0.06	400.	80.
 1.54	0.06	400.	90.
 1.42	0.06	400.	100.
 1.5	0.08	400.	110.
 1.94	0.08	400.	120.
 2.5	0.09	400.	130.
 3.21	0.09	400.	140.
 4.17	0.11	400.	150.
 5.25	0.14	400.	160.
 5.82	0.22	400.	165.
 7.93	0.28	400.	170.
 9.57	0.34	400.	175.
 13.49	0.91	400.	180.
