6.0067	0.1	350.	3.0                 
5.6964	0.1	350.	6.0            
5.3256	0.1	350.	9.0            
4.9781	0.1	350.	12.0           
4.6915	0.1	350.	15.0           
4.4638	0.1	350.	18.0           
4.2774	0.1	350.	21.0           
4.1142	0.1	350.	24.0           
3.9611	0.1	350.	27.0           
3.8102	0.1	350.	30.0           
3.6578	0.1	350.	33.0           
3.5025	0.1	350.	36.0           
3.3443	0.1	350.	39.0           
3.1842	0.1	350.	42.0           
3.0235	0.1	350.	45.0           
2.8639	0.1	350.	48.0           
2.7070	0.1	350.	51.0           
2.5547	0.1	350.	54.0           
2.4087	0.1	350.	57.0           
2.2703	0.1	350.	60.0           
2.1410	0.1	350.	63.0           
2.0218	0.1	350.	66.0           
1.9135	0.1	350.	69.0           
1.8168	0.1	350.	72.0           
1.7321	0.1	350.	75.0           
1.6597	0.1	350.	78.0           
1.5996	0.1	350.	81.0           
1.5520	0.1	350.	84.0           
1.5170	0.1	350.	87.0           
1.4946	0.1	350.	90.0           
1.4851	0.1	350.	93.0           
1.4888	0.1	350.	96.0           
1.5061	0.1	350.	99.0           
1.5378	0.1	350.	102.0          
1.5846	0.1	350.	105.0          
1.6478	0.1	350.	108.0          
1.7285	0.1	350.	111.0          
1.8283	0.1	350.	114.0          
1.9486	0.1	350.	117.0          
2.0908	0.1	350.	120.0          
2.2563	0.1	350.	123.0          
2.4456	0.1	350.	126.0          
2.6589	0.1	350.	129.0          
2.8952	0.1	350.	132.0          
3.1524	0.1	350.	135.0          
3.4273	0.1	350.	138.0          
3.7152	0.1	350.	141.0          
4.0113	0.1	350.	144.0          
4.3108	0.1	350.	147.0          
4.6119	0.1	350.	150.0          
4.9183	0.1	350.	153.0          
5.2445	0.1	350.	156.0          
5.6220	0.1	350.	159.0          
6.1034	0.1	350.	162.0          
6.7603	0.1	350.	165.0          
7.6593	0.1	350.	168.0          
8.8036	0.1	350.	171.0          
10.048	0.1	350.	174.0          
11.063	0.1	350.	177.0          
11.462	0.1	350.	180.0          
